mood_id,user_id,mood_rating,mood_notes,mood_date,name,age,gender,email,region_id,region_name
24,24,10,Had a peaceful morning walk.,2025-06-13,Andrew Mason,19,M,williamchang@example.org,265,"New John, Cyprus"
25,25,5,Overstimulated from social interaction.,2025-06-06,Justin Miller,38,Other,christopher88@example.org,797,"Christopherbury, Cambodia"
26,26,2,Laughed till my stomach hurt.,2025-06-15,Rhonda Ferguson,21,Other,zvasquez@example.org,969,"East Jessica, Saint Lucia"
27,27,4,Feeling very present and mindful.,2025-06-11,Ross Lane,70,F,opeterson@example.net,890,"South Kent, Montserrat"
28,28,3,Feel mentally stronger today.,2025-06-08,Lisa Smith,26,Other,lcooper@example.org,942,"Knoxstad, Cyprus"
29,29,7,Today was a blur.,2025-06-14,Heather Murray,23,M,nstewart@example.com,126,"Stephaniemouth, Marshall Islands"
30,30,2,Feel mentally stronger today.,2025-06-13,Paul Hoover,25,F,patrickshaffer@example.com,105,"South Rachelborough, Jordan"
31,31,9,Grateful for small wins.,2025-06-09,Derek Middleton,66,Other,srichardson@example.org,284,"West Wendyville, Yemen"
32,32,8,"Panic attack earlier, now calming down.",2025-06-14,Kathryn Jacobs,59,F,raymondbrett@example.com,701,"East Lisa, Libyan Arab Jamahiriya"
33,33,8,Hurt by someone’s words.,2025-06-08,John Cannon,38,F,john74@example.com,939,"Brightview, Palau"
34,34,6,Feel excited but also scared.,2025-06-12,Hailey Rush,34,M,rmason@example.com,864,"West Jasonland, Kiribati"
35,35,2,Surprisingly optimistic.,2025-06-11,Catherine Smith,34,M,egross@example.net,515,"New Ericafurt, France"
36,36,4,Feeling nauseous and stressed.,2025-06-14,Zachary Thomas,61,F,patricia39@example.org,347,"South Andrewmouth, French Guiana"
37,37,6,Hope is back.,2025-06-09,Steven Clay,30,M,janice05@example.net,828,"Brownview, Isle of Man"
38,38,8,Irritated by minor things.,2025-06-09,Michael Brown,68,M,justin65@example.com,23,"Thomasberg, Indonesia"
39,39,4,Sick and a bit cranky.,2025-06-13,Adam Nunez,64,Other,brandonwarren@example.net,810,"East Marymouth, Sweden"
40,40,10,Having a creative burst!,2025-06-11,Sara Turner,35,Other,hwalker@example.org,363,"Chaseland, Switzerland"
41,41,7,Joyful after catching up with an old friend.,2025-06-12,Louis Grant,35,F,abigailweeks@example.net,53,"Lake Deniseville, Lao People's Democratic Republic"
42,42,10,Really motivated today.,2025-06-12,Jennifer Moody,61,Other,brownryan@example.net,909,"Port Jeremyport, Togo"
43,43,4,Proud of what I achieved today.,2025-06-12,Herbert Snyder,63,Other,sarahdavila@example.org,394,"Angelaville, Tunisia"
44,44,1,Overwhelmed with deadlines.,2025-06-14,Daniel Powell,26,Other,smithdiana@example.net,656,"West Malik, Suriname"
45,45,5,Very sleepy all day.,2025-06-10,Tim Wright,23,Other,lhale@example.com,757,"New Pamelatown, Northern Mariana Islands"
46,46,1,Need a long nap.,2025-06-12,Michael Underwood,56,F,zacharygoodman@example.org,281,"Rosebury, Turks and Caicos Islands"
47,47,10,Excited to start new projects.,2025-06-09,Jason Dixon,55,M,mmyers@example.com,16,"Michaelview, Central African Republic"
48,48,7,Proud of what I achieved today.,2025-06-06,Tanner Oneill,39,M,donald12@example.org,939,"Brightview, Palau"
49,49,6,Feel like I’m falling behind.,2025-06-13,Scott Arnold,21,Other,wallacemichael@example.com,34,"Meaganhaven, Trinidad and Tobago"
50,50,7,Regret being unkind earlier.,2025-06-07,Timothy Rodriguez,30,Other,watkinsmark@example.org,383,"Lake Matthewberg, Madagascar"
51,51,9,Feel like I’m falling behind.,2025-06-14,Christine Cruz,19,Other,emartinez@example.org,534,"Nelsonville, Thailand"
52,52,1,Feeling unappreciated.,2025-06-15,Abigail Mccormick,26,Other,riveracorey@example.org,166,"Melissaland, Ethiopia"
53,53,2,Hard time getting out of bed.,2025-06-12,Timothy Stanley,70,F,browndanny@example.net,312,"Port Dianaside, Bolivia"
54,54,8,Having a creative burst!,2025-06-07,Michael Howard,21,M,lisayoung@example.com,153,"New Staciemouth, Paraguay"
55,55,6,Feel excited but also scared.,2025-06-09,Charles Leonard,53,Other,mark65@example.org,851,"Willismouth, Romania"
56,56,6,Dealing with some family stress.,2025-06-09,Amy Brown,38,Other,keithmartinez@example.org,611,"Hopkinstown, Bahamas"
57,57,3,Overstimulated from social interaction.,2025-06-06,Lisa Saunders,65,Other,sabrina85@example.com,279,"Carsonstad, Myanmar"
58,58,6,Emotionally numb.,2025-06-10,Sarah Mcdowell,70,Other,michael05@example.net,637,"Millerport, Panama"
59,59,2,Need some alone time.,2025-06-11,Maria Miller,51,F,chelseawallace@example.org,584,"Melendezside, Cambodia"
60,60,7,Excited to start new projects.,2025-06-09,Tina Ferguson,58,F,ereid@example.org,270,"East Kristin, China"
61,61,7,Still processing emotions.,2025-06-07,Hunter Strickland,29,M,desiree88@example.org,443,"West Kimberlymouth, United States Minor Outlying Islands"
62,62,2,Head feels heavy.,2025-06-06,David Johnson,45,F,kimberlydiaz@example.org,171,"New Stacyland, Moldova"
63,63,4,Struggling with loneliness.,2025-06-12,Miguel Garcia,27,Other,orozcocharles@example.org,459,"East Marcus, Gabon"
64,64,5,Letting go of guilt.,2025-06-06,Heather King,21,Other,oliverapril@example.net,894,"East Brad, Sri Lanka"
65,65,10,Very sleepy all day.,2025-06-09,Mary Martinez,68,M,justin47@example.org,639,"South Jennifer, Ethiopia"
66,66,1,Emotionally numb.,2025-06-08,Ryan Harvey,48,Other,whood@example.net,719,"West Michelleberg, Uruguay"
67,67,8,"Watched a good movie, feeling relaxed.",2025-06-11,Tanner Hughes,52,F,aclark@example.com,924,"Port Jeffrey, Central African Republic"
68,68,1,Tired but happy.,2025-06-13,Ryan Thompson,52,F,robert64@example.org,477,"Soniachester, Australia"
69,69,6,Brain fog all day.,2025-06-15,Barbara Carroll,62,F,ashley83@example.com,559,"New Charles, Samoa"
70,70,8,Mood fluctuated a lot today.,2025-06-12,Joshua Stanley,70,F,wadekyle@example.org,120,"South Robertshire, New Zealand"
71,71,5,Experienced pure joy in small things.,2025-06-15,Jonathan Henderson,54,M,georgewilliams@example.org,704,"Port Kathleenport, Mongolia"
72,72,6,Feel like I’m falling behind.,2025-06-15,Amy Lane,36,Other,richardhiggins@example.com,636,"Lopezshire, Honduras"
73,73,5,Content with how the day went.,2025-06-12,Teresa Jones,54,M,christopherwilliams@example.net,857,"Davidtown, Portugal"
74,74,10,"Too much screen time, feel drained.",2025-06-08,Meredith Clark,28,Other,mooredawn@example.org,321,"Parrishton, Guinea"
75,75,6,Nothing went as planned.,2025-06-10,Amber Jenkins,58,F,vgilbert@example.net,792,"East Adam, Senegal"
76,76,6,Content with how the day went.,2025-06-07,Matthew Mccann,67,Other,millerjason@example.net,899,"Rodriguezberg, Solomon Islands"
77,77,6,Experienced pure joy in small things.,2025-06-15,Brandy Mccarthy,19,M,michael64@example.com,948,"Nathanshire, Italy"
78,78,2,Eager for change.,2025-06-10,Clinton Rice,67,M,esparzasara@example.net,341,"Port Jonathan, Seychelles"
79,79,5,"Chatted with a mentor, feeling guided.",2025-06-13,Brianna Blake,33,F,gibsondiana@example.net,60,"Port Richard, Liberia"
80,80,2,Still processing emotions.,2025-06-06,Kristen Johnson,33,M,lindsey75@example.net,212,"Moonburgh, Maldives"
81,81,9,Got closure today.,2025-06-07,Sandra Gallagher,28,Other,james05@example.org,562,"Port Darlene, Cocos (Keeling) Islands"
82,82,1,Craving human connection.,2025-06-07,Katherine Watson,55,F,galvarado@example.net,850,"Susanstad, Malta"
83,83,4,Light-hearted mood today.,2025-06-08,Crystal Reyes,49,F,williammarquez@example.com,761,"North Joseton, Andorra"
84,84,4,Everything feels overwhelming.,2025-06-09,Nicole Hobbs,61,M,mrogers@example.net,753,"Port Melanieport, Slovakia (Slovak Republic)"
85,85,2,Very sleepy all day.,2025-06-08,Rachel Villanueva,53,M,matthew72@example.org,240,"Mollymouth, Brunei Darussalam"
86,86,9,Excited for the weekend!,2025-06-10,Micheal Brown,41,F,miguelwilliams@example.org,207,"Kimton, Macao"
87,87,1,Feeling nauseous and stressed.,2025-06-10,Carol Jennings,30,F,kelseygilmore@example.net,917,"East Antonioton, Taiwan"
88,88,1,Trying to reset mentally.,2025-06-07,Catherine Bird,35,M,ruizjoshua@example.net,985,"Port Audreyfort, Benin"
89,89,10,Peaceful like never before.,2025-06-06,Jessica Jones,65,M,dfoster@example.net,257,"Landryshire, Barbados"
90,90,7,Today was a blur.,2025-06-09,Jason Davis,29,Other,scott01@example.org,664,"Chambersberg, Svalbard & Jan Mayen Islands"
91,91,7,Laughing helped reduce stress.,2025-06-06,Heather Flores,33,F,tarakelley@example.net,814,"North Steven, San Marino"
92,92,6,Grateful for small wins.,2025-06-10,Karen Mack,28,Other,elizabeth02@example.org,718,"East Sydneychester, United Arab Emirates"
93,93,7,Deep in thought.,2025-06-06,Christina Byrd,61,Other,apatterson@example.com,516,"Cardenasberg, Ukraine"
94,94,5,Need some alone time.,2025-06-11,Tanya Adams,23,M,amy15@example.org,523,"Riverafort, Bolivia"
95,95,10,Everything feels overwhelming.,2025-06-06,Bailey Anderson,19,M,greenezachary@example.com,454,"Hammondshire, Malta"
96,96,7,Feel supported by my friends.,2025-06-12,Amy Lopez,52,M,jeremy67@example.org,339,"South Tracey, Aruba"
97,97,3,Need a long nap.,2025-06-10,Ian Hurley,34,Other,gonzalezchristopher@example.org,54,"Chandlerville, Bahamas"
98,98,4,Today was a blur.,2025-06-15,Colton Glenn,68,Other,pmeyers@example.com,812,"Lake Kentburgh, Indonesia"
99,99,8,Need some alone time.,2025-06-08,Jessica West,30,M,perryclifford@example.com,560,"Isabellaside, Jamaica"
100,100,2,Went on a nature walk—very soothing.,2025-06-10,Jenna Whitaker,47,Other,micheal15@example.net,895,"Harrisberg, Belgium"
101,101,1,Everything feels overwhelming.,2025-06-13,Alexander Myers,64,Other,antonio34@example.com,353,"Port Michael, Brazil"
102,102,5,Craving human connection.,2025-06-09,Brittany Jacobs,65,F,jeremy09@example.com,344,"Charleston, Denmark"
103,103,8,Overthinking everything today.,2025-06-09,Christine Allen,57,Other,tgrant@example.org,676,"West Larry, Brazil"
104,104,10,Laughing a lot today.,2025-06-12,John Rivera,66,F,rford@example.com,287,"South Diana, Italy"
105,105,9,Feeling impulsive and reckless.,2025-06-15,Elaine Curtis,24,M,nlucero@example.com,8,"Ericmouth, Guam"
106,106,2,"Had a cry, now feel lighter.",2025-06-14,Justin Moreno,41,M,kimmartin@example.com,762,"Port Raymondport, Uzbekistan"
107,107,1,Hurt by someone’s words.,2025-06-10,Jill Lynch,69,Other,kimberlythompson@example.net,31,"Danielchester, Seychelles"
108,108,4,Felt great after workout.,2025-06-13,Michael Morton,70,Other,aguilaramy@example.com,240,"Mollymouth, Brunei Darussalam"
109,109,1,Feeling nauseous and stressed.,2025-06-12,Mark Taylor,25,M,maxmatthews@example.org,599,"Williamsbury, Germany"
110,110,10,Feeling very present and mindful.,2025-06-09,Rebecca Perry,54,M,shawnjensen@example.net,460,"West Stacey, Russian Federation"
111,111,9,Got closure today.,2025-06-08,Elizabeth Chapman,34,F,christensenkyle@example.org,895,"Harrisberg, Belgium"
112,112,10,Joyful after catching up with an old friend.,2025-06-06,Allison Moore,60,Other,cindy25@example.org,119,"North Johnfort, Cameroon"
113,113,9,Feeling like giving up.,2025-06-14,Andrew Lewis,54,F,robertagraham@example.org,335,"West Scottchester, Peru"
114,114,2,Feeling impulsive and reckless.,2025-06-06,Ms. Lisa Young,42,F,perryeric@example.net,491,"East Carrie, Saudi Arabia"
115,115,8,Having a balanced day emotionally.,2025-06-11,Jerry Anderson,66,M,joann09@example.com,720,"East Dustin, Reunion"
116,116,4,Mind feels heavy.,2025-06-11,Jeffrey Burke,52,M,jamesevans@example.net,333,"Kimberlyshire, Georgia"
117,117,9,Chose rest over hustle.,2025-06-07,Kathy Mayo,29,Other,erikjackson@example.com,385,"Lake Samuel, Switzerland"
118,118,4,Laughed till my stomach hurt.,2025-06-12,Barbara Turner,56,M,jaclynporter@example.net,681,"New Greg, Venezuela"
119,119,6,Felt really inspired.,2025-06-15,Jennifer Tran,42,Other,laurareynolds@example.net,483,"West Troyfort, Australia"
120,120,2,Grateful for small wins.,2025-06-13,Angela Adams DDS,33,Other,joel29@example.org,796,"Vasquezton, Dominica"
121,121,4,Mood fluctuated a lot today.,2025-06-09,Mrs. Michelle Davis,43,F,tiffany12@example.com,323,"East Diane, Madagascar"
122,122,3,Experiencing imposter syndrome.,2025-06-07,Benjamin Stephens,65,M,hodgesdana@example.org,575,"Barbaramouth, Djibouti"
123,123,2,Feeling very connected to friends.,2025-06-15,Cameron Burnett,58,F,hjefferson@example.net,770,"North Alexander, Georgia"
124,124,5,Today was a blur.,2025-06-11,William Watson Jr.,64,F,susan44@example.net,504,"East Andrewmouth, Antigua and Barbuda"
125,125,9,Joyful after catching up with an old friend.,2025-06-12,Ashley Schneider,34,M,neil77@example.com,400,"West Jeffreymouth, Hungary"
126,126,10,Regret being unkind earlier.,2025-06-14,David Wong,27,M,jamie72@example.net,411,"Johnchester, Nicaragua"
127,127,2,Good conversation boosted my mood.,2025-06-09,Nancy Patterson,54,F,kmartin@example.com,720,"East Dustin, Reunion"
128,128,7,Felt really inspired.,2025-06-06,Valerie Foster,23,M,amcdaniel@example.net,89,"Port Mikeside, Mayotte"
129,129,4,Feel mentally stronger today.,2025-06-07,Victoria Perez,49,F,ericgeorge@example.com,478,"Port Mark, Egypt"
130,130,1,Feeling thankful and grateful.,2025-06-12,Lisa Montes,32,F,delgadomatthew@example.net,732,"Lake Kristenmouth, Aruba"
131,131,7,Mood fluctuated a lot today.,2025-06-09,Alexander Anderson,45,Other,ian22@example.org,95,"Kimberlychester, Saint Pierre and Miquelon"
132,132,1,Trying to stay grounded.,2025-06-14,Carrie Hill,62,Other,dpayne@example.com,915,"Taylorhaven, Georgia"
133,133,7,Eager for change.,2025-06-13,Debbie Harrington,51,M,laura13@example.net,399,"South Waynebury, Israel"
134,134,10,Light-hearted mood today.,2025-06-15,Zoe Turner,60,Other,kerrgary@example.com,312,"Port Dianaside, Bolivia"
135,135,7,Chose rest over hustle.,2025-06-12,Ralph Stephens,25,Other,dharvey@example.org,280,"South Angel, Botswana"
136,136,2,Very sleepy all day.,2025-06-09,Randy Perez,70,M,nwilliams@example.net,351,"Juliebury, Trinidad and Tobago"
137,137,10,Feeling thankful and grateful.,2025-06-13,Jacqueline Bruce,31,M,jeffreybarker@example.org,763,"Hendersonfurt, Niue"
138,138,2,Eager for change.,2025-06-06,Joshua Castillo,67,Other,mcarter@example.com,676,"West Larry, Brazil"
139,139,10,Feeling nauseous and stressed.,2025-06-11,Renee Banks,50,M,margaretjohnson@example.net,397,"Davisbury, Switzerland"
140,140,1,Mood fluctuated a lot today.,2025-06-14,Cheyenne Lin,20,M,michelle42@example.net,393,"Brettfort, Tunisia"
141,141,5,Surprisingly optimistic.,2025-06-11,Erica Wright,52,M,dodsoncynthia@example.com,912,"Lewischester, Comoros"
142,142,9,Lack of motivation lately.,2025-06-07,Jeffrey Brown,20,F,woodkatherine@example.net,699,"East Leonard, France"
143,143,8,Mind racing all the time.,2025-06-11,Marcus Moses,47,F,diana23@example.com,884,"South Bradley, Heard Island and McDonald Islands"
144,144,7,Brain fog all day.,2025-06-11,Danielle Chapman,63,M,james54@example.com,746,"North Alyssa, Norway"
145,145,3,Proud of what I achieved today.,2025-06-09,Pamela Scott,62,M,lwood@example.com,986,"Port Williamville, Canada"
146,146,8,"Panic attack earlier, now calming down.",2025-06-14,Jonathan Brown,55,F,drewgraham@example.org,208,"Navarroview, Tuvalu"
147,147,8,Having a balanced day emotionally.,2025-06-09,Jennifer Snyder,49,F,jasonjohnson@example.net,971,"South Nancyview, Pakistan"
148,148,1,Social battery is low.,2025-06-08,Shane Martinez,32,F,ryansellers@example.net,963,"Larryville, Czech Republic"
149,149,1,"Had a cry, now feel lighter.",2025-06-11,Paul Morse,44,Other,rodgerscynthia@example.net,648,"Lake Oscar, Montserrat"
150,150,2,Had a peaceful morning walk.,2025-06-08,Crystal Blankenship,45,M,johnroy@example.com,732,"Lake Kristenmouth, Aruba"
151,151,8,Feeling unappreciated.,2025-06-09,Michael Sanders,29,M,medinalarry@example.com,570,"North Lisachester, Comoros"
152,152,8,Good conversation boosted my mood.,2025-06-09,Melissa Franco,21,Other,othompson@example.com,159,"Port Tonyaton, Gabon"
153,153,7,Nothing feels real.,2025-06-15,Lauren Maldonado,25,Other,katherinefowler@example.com,802,"Josemouth, Dominica"
154,154,3,"Panic attack earlier, now calming down.",2025-06-06,Dr. Alicia Smith,61,M,moralesfrank@example.org,146,"West Nicholasborough, Cocos (Keeling) Islands"
155,155,1,Chose rest over hustle.,2025-06-07,Matthew Gilmore,65,M,jakesanchez@example.org,411,"Johnchester, Nicaragua"
156,156,10,Nothing feels real.,2025-06-07,Jonathon Woods,45,F,heathermoss@example.com,853,"Connerfort, Saint Martin"
157,157,7,"Had a cry, now feel lighter.",2025-06-15,Lauren Santiago,47,Other,dannyrodriguez@example.org,2,"Lake Curtis, Czech Republic"
158,158,5,Struggling to stay focused today.,2025-06-14,Heather Berg,19,M,thomasshannon@example.net,833,"Paulburgh, Macao"
159,159,3,Social battery is low.,2025-06-07,Justin Wright,23,Other,frankharrell@example.com,4,"East William, Bermuda"
160,160,2,Social battery is low.,2025-06-11,Elizabeth Allen,35,Other,maldonadonathan@example.com,940,"Sullivanton, United States of America"
161,161,4,Dealing with some family stress.,2025-06-06,Ashley Palmer,44,F,alexis14@example.org,355,"East Carrie, Equatorial Guinea"
162,162,4,Craving human connection.,2025-06-09,Melissa Pearson,68,F,vsanchez@example.com,631,"New Juliestad, Somalia"
163,163,5,Surprisingly optimistic.,2025-06-09,Christine Kim,62,F,joneskayla@example.org,514,"Baileyview, Ghana"
164,164,6,Mood improving slowly.,2025-06-11,John Gonzalez,32,Other,hardinjessica@example.org,625,"Rachelshire, Poland"
165,165,4,Very sleepy all day.,2025-06-15,Monica Hernandez,46,Other,cindyriley@example.net,803,"Haynesmouth, Vanuatu"
166,166,10,Still processing emotions.,2025-06-14,David Randolph,63,M,fsmith@example.com,224,"West Andrea, Russian Federation"
167,167,1,Lack of motivation lately.,2025-06-11,Angela Jenkins,28,F,imorgan@example.com,503,"Hernandezbury, Niger"
168,168,8,Feel supported by my friends.,2025-06-13,Rachel Hays,41,F,amanda85@example.com,848,"Brianberg, Uruguay"
169,169,6,Lack of motivation lately.,2025-06-10,Sheila Johnston,24,Other,gary37@example.com,606,"Lake Amy, Chile"
170,170,6,Feeling like giving up.,2025-06-13,John Glenn,69,Other,sfoster@example.com,421,"North Leslie, Aruba"
171,171,1,Very sleepy all day.,2025-06-13,Joshua Gentry,56,F,elizabeth89@example.net,537,"Ashleyborough, Somalia"
172,172,3,Really motivated today.,2025-06-08,Molly Rodriguez,59,Other,dominicmercado@example.org,418,"Pollardfort, Switzerland"
173,173,5,Overwhelmed with deadlines.,2025-06-14,Victoria Sharp,67,Other,callahanjoshua@example.org,938,"Erintown, Panama"
174,174,3,Insecure about how I look today.,2025-06-11,Logan Roberson,60,Other,matthew56@example.com,292,"Hillville, Bahamas"
175,175,3,Went on a nature walk—very soothing.,2025-06-10,Thomas Sawyer,21,M,eatonphillip@example.com,327,"West Jacqueline, Antarctica (the territory South of 60 deg S)"
176,176,6,Trying not to overthink.,2025-06-09,Lynn Green,33,F,kellysantiago@example.org,594,"New Marc, Indonesia"
177,177,1,Heavy-hearted.,2025-06-08,Daniel Brennan,40,M,williamcohen@example.org,188,"North Johnny, Guam"
178,178,8,Feeling impulsive and reckless.,2025-06-11,Douglas Powell,69,Other,robertblair@example.com,399,"South Waynebury, Israel"
179,179,9,Need a long nap.,2025-06-07,Aimee Gordon,24,Other,garrisonjeffrey@example.com,207,"Kimton, Macao"
180,180,8,"Too much screen time, feel drained.",2025-06-12,Edward Evans,42,F,barberjoel@example.com,626,"East Sarahmouth, Palestinian Territory"
181,181,7,Hard time getting out of bed.,2025-06-14,Scott Diaz,47,M,nancyhenderson@example.net,576,"Nancyhaven, Dominica"
182,182,9,Anxious about upcoming tasks.,2025-06-13,Stacey Brown,68,Other,bgallegos@example.net,844,"Weaverburgh, Turkmenistan"
183,183,1,Still processing emotions.,2025-06-12,Charles Estes,20,M,brownchristopher@example.com,76,"New Jasonview, Bolivia"
184,184,9,Felt supported by family today.,2025-06-10,Mary Arroyo,29,Other,hunter67@example.org,968,"Smithbury, Chad"
185,185,3,Finally feel seen.,2025-06-12,Michael Zhang,56,M,jason69@example.net,959,"Sanfordfurt, Iraq"
186,186,6,Deep in thought.,2025-06-07,Jonathan Smith,35,M,glennberger@example.org,849,"Port Daniel, Namibia"
187,187,10,Finally feel seen.,2025-06-06,Mr. Charles Bishop DDS,38,F,jball@example.org,278,"South Miguelview, Mauritania"
188,188,3,Brain fog all day.,2025-06-14,Rebekah Ruiz,49,F,nicole35@example.net,959,"Sanfordfurt, Iraq"
189,189,10,Still processing emotions.,2025-06-09,Christina Porter,54,F,wjohnson@example.net,124,"New Johnville, Kyrgyz Republic"
190,190,5,Experiencing imposter syndrome.,2025-06-12,Linda Mullins,34,F,ngibson@example.com,445,"East Melissamouth, Cook Islands"
191,191,1,Messed up something and feeling guilty.,2025-06-10,Juan Bennett,61,M,valdezjames@example.org,367,"North Shannon, Macao"
192,192,6,Dealing with some family stress.,2025-06-09,Sandra Bond,58,F,glenngutierrez@example.net,66,"Brianshire, San Marino"
193,193,9,Social battery is low.,2025-06-13,Chelsea Garcia,27,F,anita61@example.org,386,"Ericabury, Isle of Man"
194,194,1,Struggling to stay focused today.,2025-06-09,James Maddox,42,M,ashley77@example.com,853,"Connerfort, Saint Martin"
195,195,7,Laughing a lot today.,2025-06-13,Patrick White,55,F,starkemily@example.com,503,"Hernandezbury, Niger"
196,196,6,Experienced pure joy in small things.,2025-06-14,Nicholas Park,41,Other,meadowsvickie@example.net,225,"Davisville, Micronesia"
197,197,8,Calm and grounded.,2025-06-07,Tasha Walker,52,M,brianna49@example.org,200,"Jacquelinemouth, France"
198,198,3,"Slept well, feel recharged.",2025-06-15,Christopher Woods,49,Other,turnerjustin@example.org,755,"Port Rachaelbury, Oman"
199,199,1,Chose rest over hustle.,2025-06-06,Kimberly Howard,29,F,hahnrebecca@example.net,464,"East Donna, Western Sahara"
200,200,7,Woke up with a headache.,2025-06-10,Joseph Lester,37,Other,istone@example.com,806,"East Danielmouth, Myanmar"
201,201,3,Felt disconnected in meetings.,2025-06-11,George Perry,38,F,angelakline@example.org,78,"Ericside, Heard Island and McDonald Islands"
202,202,4,"Got good news, feeling thrilled.",2025-06-14,Judy Ortiz,46,Other,jacksonjoseph@example.net,349,"Richardbury, Benin"
203,203,8,Smiling for no reason.,2025-06-07,Dr. Dustin Moran Jr.,40,M,patriciadiaz@example.com,55,"East Amanda, Egypt"
204,204,10,Joyful after catching up with an old friend.,2025-06-11,Sean Terrell,61,Other,wilsonemily@example.net,498,"West Markville, Lebanon"
205,205,7,Laughing a lot today.,2025-06-09,William King,27,M,robin37@example.com,731,"Kramerton, Bulgaria"
206,206,7,Day felt too long.,2025-06-15,Nicole Hoffman,63,F,moniquemorris@example.com,465,"Meganshire, Saint Helena"
207,207,5,Feeling nauseous and stressed.,2025-06-07,Hannah Moss,26,M,katherine70@example.net,884,"South Bradley, Heard Island and McDonald Islands"
208,208,4,Social battery is low.,2025-06-08,Ashley Gray,26,Other,amandacarter@example.com,831,"South Kimberlystad, Mayotte"
209,209,3,Surprisingly optimistic.,2025-06-14,Dustin Martinez,65,Other,rhoward@example.net,540,"Morrisbury, Burundi"
210,210,6,Excited for the weekend!,2025-06-09,Barry Bauer,36,Other,michaelkim@example.net,60,"Port Richard, Liberia"
211,211,3,Emotionally stable right now.,2025-06-15,Amy Gonzales,56,F,zacharykline@example.org,475,"West Johnville, Monaco"
212,212,7,Proud of what I achieved today.,2025-06-06,Kelly White DDS,60,F,holderamy@example.org,248,"Lake Kevin, Kenya"
213,213,8,Overstimulated from social interaction.,2025-06-09,Danielle Johnson,49,Other,timothyjames@example.org,984,"North Alexander, Greenland"
214,214,3,Still processing emotions.,2025-06-07,Charles House,42,M,hesscheryl@example.org,250,"Ryanbury, Guinea-Bissau"
215,215,10,Hard time getting out of bed.,2025-06-11,Wendy Jones,42,M,bellerica@example.net,226,"Lake Marilynfort, Kyrgyz Republic"
216,216,5,Nothing feels real.,2025-06-15,Joseph Gibson,64,F,perezcrystal@example.org,971,"South Nancyview, Pakistan"
217,217,8,Good conversation boosted my mood.,2025-06-09,Patricia Nolan,38,F,zacharyhuffman@example.org,812,"Lake Kentburgh, Indonesia"
