diet_id,user_id,meal_type,food_items,calories_intake,meal_date,name,age,gender,email,region_id,region_name
34,34,Lunch,"Cereal, Tempura, Bibimbap, Buttermilk, Fried Rice",109,2025-06-13,Hailey Rush,34,M,rmason@example.com,864,"West Jasonland, Kiribati"
35,35,Lunch,"Greek Salad, Bibimbap, Chole Bhature",794,2025-06-04,Catherine Smith,34,M,egross@example.net,515,"New Ericafurt, France"
36,36,Lunch,"Green Tea, Cereal",212,2025-06-15,Zachary Thomas,61,F,patricia39@example.org,347,"South Andrewmouth, French Guiana"
37,37,Dinner,"Burger, Boiled Egg, Hot Dog, Green Tea",1183,2025-05-27,Steven Clay,30,M,janice05@example.net,828,"Brownview, Isle of Man"
38,38,Snack,"Biryani, Dal Tadka, Cereal, Spaghetti Bolognese, Chicken Curry",1181,2025-05-23,Michael Brown,68,M,justin65@example.com,23,"Thomasberg, Indonesia"
39,39,Dinner,"Pav Bhaji, Bibimbap",205,2025-06-13,Adam Nunez,64,Other,brandonwarren@example.net,810,"East Marymouth, Sweden"
40,40,Snack,"Pho, Chole Bhature, Kadhi Pakora, Lamb Chops",257,2025-05-21,Sara Turner,35,Other,hwalker@example.org,363,"Chaseland, Switzerland"
41,41,Snack,"Smoothie Bowl, Chicken Curry, Manchurian, Caesar Salad, Fried Rice",1112,2025-06-09,Louis Grant,35,F,abigailweeks@example.net,53,"Lake Deniseville, Lao People's Democratic Republic"
42,42,Dinner,"Yogurt, Lassi, Tacos",922,2025-06-03,Jennifer Moody,61,Other,brownryan@example.net,909,"Port Jeremyport, Togo"
43,43,Breakfast,"Caesar Salad, Tom Yum Soup, Spring Rolls",1200,2025-06-15,Herbert Snyder,63,Other,sarahdavila@example.org,394,"Angelaville, Tunisia"
44,44,Lunch,"Palak Paneer, Omelette",767,2025-06-14,Daniel Powell,26,Other,smithdiana@example.net,656,"West Malik, Suriname"
45,45,Snack,"Milkshake, Sambar Rice, Kadhi Pakora, Idli",1066,2025-06-05,Tim Wright,23,Other,lhale@example.com,757,"New Pamelatown, Northern Mariana Islands"
46,46,Snack,"Green Curry, Muesli, Chicken Curry",987,2025-05-18,Michael Underwood,56,F,zacharygoodman@example.org,281,"Rosebury, Turks and Caicos Islands"
47,47,Snack,"Cereal, Kadhi Pakora, Palak Paneer, Aloo Paratha, Greek Salad",530,2025-05-17,Jason Dixon,55,M,mmyers@example.com,16,"Michaelview, Central African Republic"
48,48,Lunch,"Quesadilla, Upma, Manchurian, Kadhi Pakora, Ramen",796,2025-05-31,Tanner Oneill,39,M,donald12@example.org,939,"Brightview, Palau"
49,49,Breakfast,"Lamb Chops, Chicken Curry, Kadhi Pakora",569,2025-06-10,Scott Arnold,21,Other,wallacemichael@example.com,34,"Meaganhaven, Trinidad and Tobago"
50,50,Breakfast,"Spaghetti Bolognese, Biryani",162,2025-05-19,Timothy Rodriguez,30,Other,watkinsmark@example.org,383,"Lake Matthewberg, Madagascar"
51,51,Snack,"Grilled Chicken, Chole Bhature, Pizza, Tandoori Chicken",528,2025-05-29,Christine Cruz,19,Other,emartinez@example.org,534,"Nelsonville, Thailand"
52,52,Dinner,"Fried Rice, Ramen",591,2025-05-19,Abigail Mccormick,26,Other,riveracorey@example.org,166,"Melissaland, Ethiopia"
53,53,Dinner,"Tandoori Chicken, Vada, Burrito",702,2025-05-26,Timothy Stanley,70,F,browndanny@example.net,312,"Port Dianaside, Bolivia"
54,54,Breakfast,"Omelette, Bibimbap, Quesadilla",497,2025-05-17,Michael Howard,21,M,lisayoung@example.com,153,"New Staciemouth, Paraguay"
55,55,Lunch,"Milkshake, Chicken Curry, Spaghetti Bolognese, Chicken Wrap, Dal Tadka",145,2025-05-26,Charles Leonard,53,Other,mark65@example.org,851,"Willismouth, Romania"
56,56,Lunch,"Hakka Noodles, Idli, Tempura",1075,2025-06-01,Amy Brown,38,Other,keithmartinez@example.org,611,"Hopkinstown, Bahamas"
57,57,Dinner,"Chole Bhature, Poha",566,2025-05-23,Lisa Saunders,65,Other,sabrina85@example.com,279,"Carsonstad, Myanmar"
58,58,Breakfast,"Tacos, Caesar Salad",1020,2025-06-09,Sarah Mcdowell,70,Other,michael05@example.net,637,"Millerport, Panama"
59,59,Snack,"Burrito, Cereal, Pad Thai, Caesar Salad, Quesadilla",1007,2025-05-18,Maria Miller,51,F,chelseawallace@example.org,584,"Melendezside, Cambodia"
60,60,Breakfast,"Spaghetti Bolognese, Lamb Chops",270,2025-05-23,Tina Ferguson,58,F,ereid@example.org,270,"East Kristin, China"
61,61,Snack,"Quesadilla, Fruit Salad, Muesli, Spaghetti Bolognese",486,2025-05-24,Hunter Strickland,29,M,desiree88@example.org,443,"West Kimberlymouth, United States Minor Outlying Islands"
62,62,Breakfast,"Mac and Cheese, Fish and Chips",538,2025-05-29,David Johnson,45,F,kimberlydiaz@example.org,171,"New Stacyland, Moldova"
63,63,Dinner,"Cereal, Green Tea, Biryani, Grilled Chicken",498,2025-06-08,Miguel Garcia,27,Other,orozcocharles@example.org,459,"East Marcus, Gabon"
64,64,Lunch,"Buttermilk, Spring Rolls, Manchurian, Omelette",699,2025-05-27,Heather King,21,Other,oliverapril@example.net,894,"East Brad, Sri Lanka"
65,65,Snack,"Tom Yum Soup, Mutton Rogan Josh, Yogurt, Lemon Rice",1089,2025-06-06,Mary Martinez,68,M,justin47@example.org,639,"South Jennifer, Ethiopia"
66,66,Snack,"Pizza, Hakka Noodles, Ramen, Tempura",975,2025-06-13,Ryan Harvey,48,Other,whood@example.net,719,"West Michelleberg, Uruguay"
67,67,Snack,"Nachos, Upma, Fried Rice, Pho",107,2025-05-20,Tanner Hughes,52,F,aclark@example.com,924,"Port Jeffrey, Central African Republic"
68,68,Breakfast,"Veg Sandwich, Chicken Curry, Cereal",575,2025-06-11,Ryan Thompson,52,F,robert64@example.org,477,"Soniachester, Australia"
69,69,Lunch,"Yogurt, Sushi, Paneer Butter Masala",285,2025-06-03,Barbara Carroll,62,F,ashley83@example.com,559,"New Charles, Samoa"
70,70,Dinner,"Masala Dosa, Cereal, Nachos, Quesadilla",507,2025-06-08,Joshua Stanley,70,F,wadekyle@example.org,120,"South Robertshire, New Zealand"
71,71,Lunch,"Tandoori Chicken, Chole Bhature, Spaghetti Bolognese",805,2025-06-04,Jonathan Henderson,54,M,georgewilliams@example.org,704,"Port Kathleenport, Mongolia"
72,72,Snack,"Masala Dosa, Lemon Rice, Poha, Muesli",1118,2025-05-29,Amy Lane,36,Other,richardhiggins@example.com,636,"Lopezshire, Honduras"
73,73,Breakfast,"Kadhi Pakora, Nachos, Chicken Wrap, Sushi",622,2025-05-19,Teresa Jones,54,M,christopherwilliams@example.net,857,"Davidtown, Portugal"
74,74,Snack,"Ramen, Green Curry",237,2025-05-21,Meredith Clark,28,Other,mooredawn@example.org,321,"Parrishton, Guinea"
75,75,Lunch,"Tacos, Manchurian",282,2025-05-22,Amber Jenkins,58,F,vgilbert@example.net,792,"East Adam, Senegal"
76,76,Snack,"Burger, Hakka Noodles, Bibimbap, Sushi, Lemon Rice",587,2025-05-22,Matthew Mccann,67,Other,millerjason@example.net,899,"Rodriguezberg, Solomon Islands"
77,77,Lunch,"Scrambled Egg, Dal Tadka, Omelette, Boiled Egg, Mutton Rogan Josh",273,2025-05-21,Brandy Mccarthy,19,M,michael64@example.com,948,"Nathanshire, Italy"
78,78,Breakfast,"Sushi, Green Tea, Quesadilla",850,2025-05-23,Clinton Rice,67,M,esparzasara@example.net,341,"Port Jonathan, Seychelles"
79,79,Lunch,"Burrito, Fried Rice, Upma, French Fries, Buttermilk",690,2025-06-02,Brianna Blake,33,F,gibsondiana@example.net,60,"Port Richard, Liberia"
80,80,Lunch,"Mutton Rogan Josh, Greek Salad, Pasta Alfredo, Vada",679,2025-06-09,Kristen Johnson,33,M,lindsey75@example.net,212,"Moonburgh, Maldives"
81,81,Snack,"Grilled Chicken, Fried Rice, Omelette, Smoothie Bowl",892,2025-06-09,Sandra Gallagher,28,Other,james05@example.org,562,"Port Darlene, Cocos (Keeling) Islands"
82,82,Lunch,"Milkshake, Lassi, Quesadilla, Green Tea",994,2025-06-11,Katherine Watson,55,F,galvarado@example.net,850,"Susanstad, Malta"
83,83,Lunch,"Pav Bhaji, Butter Naan",1062,2025-05-20,Crystal Reyes,49,F,williammarquez@example.com,761,"North Joseton, Andorra"
84,84,Lunch,"Greek Salad, Manchurian",974,2025-06-10,Nicole Hobbs,61,M,mrogers@example.net,753,"Port Melanieport, Slovakia (Slovak Republic)"
85,85,Lunch,"Ramen, Yogurt, Grilled Chicken, Lamb Chops",637,2025-05-22,Rachel Villanueva,53,M,matthew72@example.org,240,"Mollymouth, Brunei Darussalam"
86,86,Lunch,"Chicken Wrap, Dal Tadka, Hakka Noodles, Hot Dog",359,2025-05-19,Micheal Brown,41,F,miguelwilliams@example.org,207,"Kimton, Macao"
87,87,Dinner,"Tacos, Nachos, Quesadilla, Spring Rolls",373,2025-05-25,Carol Jennings,30,F,kelseygilmore@example.net,917,"East Antonioton, Taiwan"
88,88,Dinner,"Chicken Wrap, Nachos, Caesar Salad, Scrambled Egg",987,2025-06-03,Catherine Bird,35,M,ruizjoshua@example.net,985,"Port Audreyfort, Benin"
89,89,Breakfast,"Tandoori Chicken, Butter Naan, Buttermilk, Greek Salad",650,2025-05-18,Jessica Jones,65,M,dfoster@example.net,257,"Landryshire, Barbados"
90,90,Snack,"Boiled Egg, Omelette, Quesadilla",726,2025-05-23,Jason Davis,29,Other,scott01@example.org,664,"Chambersberg, Svalbard & Jan Mayen Islands"
91,91,Breakfast,"Quesadilla, Idli",940,2025-05-28,Heather Flores,33,F,tarakelley@example.net,814,"North Steven, San Marino"
92,92,Snack,"Biryani, Coffee, Greek Salad",116,2025-06-10,Karen Mack,28,Other,elizabeth02@example.org,718,"East Sydneychester, United Arab Emirates"
93,93,Dinner,"Veg Sandwich, Lemon Rice",453,2025-05-28,Christina Byrd,61,Other,apatterson@example.com,516,"Cardenasberg, Ukraine"
94,94,Snack,"Tacos, Protein Shake, Tandoori Chicken, Boiled Egg, Sambar Rice",258,2025-05-29,Tanya Adams,23,M,amy15@example.org,523,"Riverafort, Bolivia"
95,95,Lunch,"Green Curry, Vada, Pad Thai",610,2025-05-28,Bailey Anderson,19,M,greenezachary@example.com,454,"Hammondshire, Malta"
96,96,Breakfast,"Paneer Butter Masala, Pizza, Hot Dog, Burger",235,2025-05-19,Amy Lopez,52,M,jeremy67@example.org,339,"South Tracey, Aruba"
97,97,Breakfast,"Nachos, Chicken Curry, Green Curry, Veg Sandwich",776,2025-06-12,Ian Hurley,34,Other,gonzalezchristopher@example.org,54,"Chandlerville, Bahamas"
98,98,Dinner,"Bibimbap, Burrito, Fish and Chips",1116,2025-06-13,Colton Glenn,68,Other,pmeyers@example.com,812,"Lake Kentburgh, Indonesia"
99,99,Breakfast,"Fish and Chips, Grilled Chicken, Lassi",1182,2025-06-07,Jessica West,30,M,perryclifford@example.com,560,"Isabellaside, Jamaica"
100,100,Snack,"Tempura, Paneer Butter Masala, Spaghetti Bolognese, Smoothie Bowl",1086,2025-05-28,Jenna Whitaker,47,Other,micheal15@example.net,895,"Harrisberg, Belgium"
101,101,Breakfast,"Hot Dog, Upma, Chicken Wrap, Grilled Chicken, Greek Salad",152,2025-05-30,Alexander Myers,64,Other,antonio34@example.com,353,"Port Michael, Brazil"
102,102,Breakfast,"Lemon Rice, Omelette",228,2025-05-26,Brittany Jacobs,65,F,jeremy09@example.com,344,"Charleston, Denmark"
103,103,Breakfast,"Vada, Porridge",325,2025-06-05,Christine Allen,57,Other,tgrant@example.org,676,"West Larry, Brazil"
104,104,Breakfast,"Manchurian, Lemon Rice",244,2025-06-05,John Rivera,66,F,rford@example.com,287,"South Diana, Italy"
105,105,Snack,"Biryani, Smoothie Bowl",221,2025-05-26,Elaine Curtis,24,M,nlucero@example.com,8,"Ericmouth, Guam"
106,106,Snack,"Quesadilla, Fish and Chips, Pho",622,2025-06-12,Justin Moreno,41,M,kimmartin@example.com,762,"Port Raymondport, Uzbekistan"
107,107,Dinner,"Kadhi Pakora, Tempura, Poha",536,2025-06-07,Jill Lynch,69,Other,kimberlythompson@example.net,31,"Danielchester, Seychelles"
108,108,Snack,"Idli, Sushi, Greek Salad, French Fries, Yogurt",1137,2025-05-23,Michael Morton,70,Other,aguilaramy@example.com,240,"Mollymouth, Brunei Darussalam"
109,109,Dinner,"Chicken Wrap, Spaghetti Bolognese, Lassi, Aloo Paratha",846,2025-06-10,Mark Taylor,25,M,maxmatthews@example.org,599,"Williamsbury, Germany"
110,110,Lunch,"Tom Yum Soup, Fried Rice, Green Tea, Rajma Chawal",552,2025-06-06,Rebecca Perry,54,M,shawnjensen@example.net,460,"West Stacey, Russian Federation"
111,111,Lunch,"Dal Tadka, Cereal, Pizza, Poha, Chole Bhature",774,2025-05-24,Elizabeth Chapman,34,F,christensenkyle@example.org,895,"Harrisberg, Belgium"
112,112,Snack,"Scrambled Egg, Smoothie Bowl, Aloo Paratha, Ramen, Quesadilla",871,2025-05-25,Allison Moore,60,Other,cindy25@example.org,119,"North Johnfort, Cameroon"
113,113,Lunch,"Bibimbap, Mutton Rogan Josh, Fruit Salad, Cereal, Fish and Chips",260,2025-06-08,Andrew Lewis,54,F,robertagraham@example.org,335,"West Scottchester, Peru"
114,114,Breakfast,"Ramen, Spring Rolls, Masala Dosa",1168,2025-05-19,Ms. Lisa Young,42,F,perryeric@example.net,491,"East Carrie, Saudi Arabia"
115,115,Snack,"Coffee, Tempura, Manchurian, Nachos",586,2025-05-30,Jerry Anderson,66,M,joann09@example.com,720,"East Dustin, Reunion"
116,116,Snack,"Mac and Cheese, Fish and Chips, Spaghetti Bolognese, Tandoori Chicken",298,2025-06-14,Jeffrey Burke,52,M,jamesevans@example.net,333,"Kimberlyshire, Georgia"
117,117,Breakfast,"Tacos, Palak Paneer, Green Tea, Aloo Paratha, French Fries",861,2025-05-24,Kathy Mayo,29,Other,erikjackson@example.com,385,"Lake Samuel, Switzerland"
118,118,Breakfast,"Burrito, Milkshake",575,2025-06-01,Barbara Turner,56,M,jaclynporter@example.net,681,"New Greg, Venezuela"
119,119,Dinner,"Masala Dosa, Grilled Chicken, Coffee",617,2025-06-13,Jennifer Tran,42,Other,laurareynolds@example.net,483,"West Troyfort, Australia"
120,120,Snack,"Bibimbap, Biryani, Omelette",331,2025-06-12,Angela Adams DDS,33,Other,joel29@example.org,796,"Vasquezton, Dominica"
121,121,Dinner,"Mac and Cheese, Scrambled Egg, Tom Yum Soup",461,2025-06-09,Mrs. Michelle Davis,43,F,tiffany12@example.com,323,"East Diane, Madagascar"
122,122,Lunch,"Ramen, French Fries, Fish and Chips, Protein Shake",787,2025-06-01,Benjamin Stephens,65,M,hodgesdana@example.org,575,"Barbaramouth, Djibouti"
123,123,Breakfast,"Grilled Chicken, Spring Rolls",132,2025-06-13,Cameron Burnett,58,F,hjefferson@example.net,770,"North Alexander, Georgia"
124,124,Lunch,"Chicken Curry, Mutton Rogan Josh, Boiled Egg, Dal Tadka, Buttermilk",275,2025-05-24,William Watson Jr.,64,F,susan44@example.net,504,"East Andrewmouth, Antigua and Barbuda"
125,125,Dinner,"Grilled Chicken, Smoothie Bowl, Aloo Paratha, Caesar Salad",791,2025-06-12,Ashley Schneider,34,M,neil77@example.com,400,"West Jeffreymouth, Hungary"
126,126,Dinner,"Fruit Salad, Idli, Greek Salad",728,2025-05-29,David Wong,27,M,jamie72@example.net,411,"Johnchester, Nicaragua"
127,127,Snack,"Chicken Wrap, Fruit Salad, Poha, Pasta Alfredo, Manchurian",420,2025-06-05,Nancy Patterson,54,F,kmartin@example.com,720,"East Dustin, Reunion"
128,128,Snack,"Quesadilla, Fried Rice, Scrambled Egg, Tacos, Greek Salad",919,2025-06-04,Valerie Foster,23,M,amcdaniel@example.net,89,"Port Mikeside, Mayotte"
129,129,Snack,"Green Curry, Lamb Chops, Dal Tadka, Biryani, Veg Sandwich",669,2025-05-25,Victoria Perez,49,F,ericgeorge@example.com,478,"Port Mark, Egypt"
130,130,Lunch,"Fruit Salad, Lemon Rice, Sambar Rice, Upma",327,2025-06-06,Lisa Montes,32,F,delgadomatthew@example.net,732,"Lake Kristenmouth, Aruba"
131,131,Lunch,"Kadhi Pakora, Upma, Aloo Paratha",369,2025-06-04,Alexander Anderson,45,Other,ian22@example.org,95,"Kimberlychester, Saint Pierre and Miquelon"
132,132,Breakfast,"Muesli, Tom Yum Soup, Sambar Rice, Poha, Tempura",1024,2025-06-15,Carrie Hill,62,Other,dpayne@example.com,915,"Taylorhaven, Georgia"
133,133,Snack,"Veg Sandwich, Kadhi Pakora, Biryani, Spring Rolls, Boiled Egg",866,2025-06-06,Debbie Harrington,51,M,laura13@example.net,399,"South Waynebury, Israel"
134,134,Snack,"Pizza, Tacos, Spring Rolls",551,2025-05-30,Zoe Turner,60,Other,kerrgary@example.com,312,"Port Dianaside, Bolivia"
135,135,Snack,"Sushi, Green Tea, Biryani, Cereal",518,2025-05-28,Ralph Stephens,25,Other,dharvey@example.org,280,"South Angel, Botswana"
136,136,Breakfast,"Biryani, Dal Tadka, Mutton Rogan Josh, Sushi, Grilled Chicken",754,2025-06-12,Randy Perez,70,M,nwilliams@example.net,351,"Juliebury, Trinidad and Tobago"
137,137,Dinner,"Mac and Cheese, Buttermilk, Hot Dog, Tandoori Chicken, Burger",285,2025-05-27,Jacqueline Bruce,31,M,jeffreybarker@example.org,763,"Hendersonfurt, Niue"
138,138,Lunch,"Biryani, Boiled Egg, Pizza, Protein Shake, Bibimbap",318,2025-06-06,Joshua Castillo,67,Other,mcarter@example.com,676,"West Larry, Brazil"
139,139,Dinner,"Upma, Grilled Chicken, Sambar Rice, Hakka Noodles",1016,2025-06-06,Renee Banks,50,M,margaretjohnson@example.net,397,"Davisbury, Switzerland"
140,140,Breakfast,"Mutton Rogan Josh, Tom Yum Soup, Nachos, Green Curry, Pad Thai",582,2025-06-14,Cheyenne Lin,20,M,michelle42@example.net,393,"Brettfort, Tunisia"
141,141,Lunch,"Boiled Egg, Palak Paneer",251,2025-05-22,Erica Wright,52,M,dodsoncynthia@example.com,912,"Lewischester, Comoros"
142,142,Dinner,"Biryani, Hot Dog, Spring Rolls, Lassi",1090,2025-06-05,Jeffrey Brown,20,F,woodkatherine@example.net,699,"East Leonard, France"
143,143,Lunch,"Quesadilla, Milkshake, Kadhi Pakora, Chicken Curry",967,2025-05-22,Marcus Moses,47,F,diana23@example.com,884,"South Bradley, Heard Island and McDonald Islands"
144,144,Dinner,"Hot Dog, Yogurt",130,2025-06-05,Danielle Chapman,63,M,james54@example.com,746,"North Alyssa, Norway"
145,145,Lunch,"Sushi, Caesar Salad",1149,2025-06-05,Pamela Scott,62,M,lwood@example.com,986,"Port Williamville, Canada"
146,146,Breakfast,"Mac and Cheese, Yogurt",189,2025-06-08,Jonathan Brown,55,F,drewgraham@example.org,208,"Navarroview, Tuvalu"
147,147,Dinner,"Hakka Noodles, Biryani",1059,2025-06-11,Jennifer Snyder,49,F,jasonjohnson@example.net,971,"South Nancyview, Pakistan"
148,148,Lunch,"Mac and Cheese, Beef Steak, Tom Yum Soup",245,2025-05-23,Shane Martinez,32,F,ryansellers@example.net,963,"Larryville, Czech Republic"
149,149,Lunch,"Mutton Rogan Josh, Burrito, Cereal, Pho",606,2025-06-11,Paul Morse,44,Other,rodgerscynthia@example.net,648,"Lake Oscar, Montserrat"
150,150,Lunch,"Butter Naan, Omelette",1132,2025-05-27,Crystal Blankenship,45,M,johnroy@example.com,732,"Lake Kristenmouth, Aruba"
151,151,Breakfast,"Burger, Palak Paneer, Green Curry",1112,2025-05-28,Michael Sanders,29,M,medinalarry@example.com,570,"North Lisachester, Comoros"
152,152,Lunch,"Burger, Pav Bhaji, Ramen, Pasta Alfredo, Sambar Rice",558,2025-05-20,Melissa Franco,21,Other,othompson@example.com,159,"Port Tonyaton, Gabon"
153,153,Lunch,"Green Curry, Pizza, French Fries",985,2025-06-01,Lauren Maldonado,25,Other,katherinefowler@example.com,802,"Josemouth, Dominica"
154,154,Lunch,"Chicken Curry, Green Curry",1162,2025-05-17,Dr. Alicia Smith,61,M,moralesfrank@example.org,146,"West Nicholasborough, Cocos (Keeling) Islands"
155,155,Dinner,"Hot Dog, Idli",231,2025-05-26,Matthew Gilmore,65,M,jakesanchez@example.org,411,"Johnchester, Nicaragua"
156,156,Snack,"Spring Rolls, Coffee, Beef Steak, Boiled Egg",506,2025-06-06,Jonathon Woods,45,F,heathermoss@example.com,853,"Connerfort, Saint Martin"
157,157,Lunch,"Green Curry, Butter Naan",510,2025-06-08,Lauren Santiago,47,Other,dannyrodriguez@example.org,2,"Lake Curtis, Czech Republic"
158,158,Dinner,"Yogurt, Pasta Alfredo, Pad Thai",1086,2025-05-22,Heather Berg,19,M,thomasshannon@example.net,833,"Paulburgh, Macao"
159,159,Dinner,"Green Tea, French Fries, Lemon Rice, Chole Bhature",528,2025-06-09,Justin Wright,23,Other,frankharrell@example.com,4,"East William, Bermuda"
160,160,Lunch,"Bibimbap, Spaghetti Bolognese, Pizza, Pasta Alfredo, Lassi",226,2025-05-30,Elizabeth Allen,35,Other,maldonadonathan@example.com,940,"Sullivanton, United States of America"
161,161,Snack,"Chicken Wrap, Protein Shake, Nachos, Quesadilla, Tacos",445,2025-05-23,Ashley Palmer,44,F,alexis14@example.org,355,"East Carrie, Equatorial Guinea"
162,162,Breakfast,"Green Curry, Quesadilla, Scrambled Egg, Burrito, Porridge",627,2025-06-08,Melissa Pearson,68,F,vsanchez@example.com,631,"New Juliestad, Somalia"
163,163,Breakfast,"Butter Naan, Sushi, Milkshake",558,2025-06-08,Christine Kim,62,F,joneskayla@example.org,514,"Baileyview, Ghana"
164,164,Snack,"Mutton Rogan Josh, Greek Salad, Manchurian, Spring Rolls, Muesli",285,2025-05-31,John Gonzalez,32,Other,hardinjessica@example.org,625,"Rachelshire, Poland"
165,165,Lunch,"Mutton Rogan Josh, Pho",540,2025-06-01,Monica Hernandez,46,Other,cindyriley@example.net,803,"Haynesmouth, Vanuatu"
166,166,Breakfast,"Biryani, Sambar Rice",775,2025-06-04,David Randolph,63,M,fsmith@example.com,224,"West Andrea, Russian Federation"
